Stkcd,Trddt,Clsprc,Dretwd,ToverOs
2230,2023/6/27,72.43,-0.00069,3.045435
2230,2023/6/28,69.35,-0.042524,4.52482
2230,2023/6/29,69.05,-0.004326,3.634029
2230,2023/6/30,67.96,-0.015786,4.051539
2230,2023/7/3,66.08,-0.027663,4.765746
2230,2023/7/4,66.54,0.006961,3.105031
2230,2023/7/5,64.68,-0.026451,2.650465
2230,2023/7/6,67.14,0.038033,4.870197
2230,2023/7/7,68.61,0.021895,5.114353
2230,2023/7/10,65.89,-0.039644,3.458723
2230,2023/7/11,69.17,0.04978,4.649762
2230,2023/7/12,68.15,-0.014746,3.829182
2230,2023/7/13,68.34,0.002788,5.299355
2230,2023/7/14,70.19,0.027071,4.714059
2230,2023/7/17,70,-0.002707,2.519233
2230,2023/7/18,67.13,-0.041,2.884427
2230,2023/7/19,67.76,0.009385,2.62757
2230,2023/7/20,64.05,-0.054752,3.677149
2230,2023/7/21,64.58,0.008275,2.065542
2230,2023/7/24,63.41,-0.018117,2.733186
2230,2023/7/25,64.31,0.014193,2.472816
2230,2023/7/26,62.72,-0.024724,2.442269
2230,2023/7/27,62.35,-0.005899,1.464374
2230,2023/7/28,62.43,0.001283,1.690267
2230,2023/7/31,62.88,0.007208,2.133697
2230,2023/8/1,60.85,-0.032284,4.271263
2230,2023/8/2,61.82,0.015941,1.978023
2230,2023/8/3,62.14,0.005176,1.317959
2230,2023/8/4,63.32,0.018989,2.107929
2230,2023/8/7,63.8,0.007581,2.212231
2230,2023/8/8,63.57,-0.003605,1.22852
2230,2023/8/9,63.95,0.005978,2.124007
2230,2023/8/10,63.19,-0.011884,1.570651
2230,2023/8/11,62,-0.018832,1.301101
2230,2023/8/14,63.98,0.031935,2.389262
2230,2023/8/15,64,0.000313,2.86606
2230,2023/8/16,58.48,-0.08625,4.854702
2230,2023/8/17,58.83,0.005985,2.785915
2230,2023/8/18,56.68,-0.036546,2.333063
2230,2023/8/21,55.9,-0.013761,1.919256
2230,2023/8/22,57.3,0.025045,2.193583
2230,2023/8/23,54.17,-0.054625,2.607851
2230,2023/8/24,53.3,-0.016061,2.365353
2230,2023/8/25,51.37,-0.03621,2.692904
2230,2023/8/28,51.32,-0.000973,3.633774
2230,2023/8/29,52.06,0.014419,3.684894
2230,2023/8/30,55.46,0.065309,4.837734
2230,2023/8/31,54.83,-0.01136,2.672525
2230,2023/9/1,54.37,-0.00839,1.634391
2230,2023/9/4,53.25,-0.0206,2.836037
2230,2023/9/5,52.36,-0.016714,2.703132
2230,2023/9/6,51.8,-0.010695,1.878656
2230,2023/9/7,50.71,-0.021042,1.463596
2230,2023/9/8,49.47,-0.024453,1.967247
2230,2023/9/11,51,0.030928,3.839001
2230,2023/9/12,50.81,-0.003725,1.721125
2230,2023/9/13,49.31,-0.029522,2.067796
2230,2023/9/14,49.08,-0.004664,1.26319
2230,2023/9/15,48.02,-0.021597,1.753141
2230,2023/9/18,48.38,0.007497,2.000103
2230,2023/9/19,46.75,-0.033692,3.004677
2230,2023/9/20,46.5,-0.005348,1.39568
2230,2023/9/21,46.6,0.002151,1.810615
2230,2023/9/22,49.45,0.061159,4.303016
2230,2023/9/25,48.89,-0.011325,2.415216
2230,2023/9/26,51.1,0.045204,3.66496
2230,2023/9/27,50.93,-0.003327,1.892467
2230,2023/9/28,50.66,-0.005301,1.783671
2230,2023/10/9,51.23,0.011251,1.96849
2230,2023/10/10,51.65,0.008198,3.404757
2230,2023/10/11,55.48,0.074153,6.824185
2230,2023/10/12,54.28,-0.021629,4.014391
2230,2023/10/13,53.34,-0.017318,2.50709
2230,2023/10/16,53,-0.006374,2.293449
2230,2023/10/17,52.38,-0.011698,1.896269
2230,2023/10/18,53.47,0.020809,3.270756
2230,2023/10/19,53.8,0.006172,3.366278
2230,2023/10/20,51.08,-0.050558,3.539692
2230,2023/10/23,51.87,0.015466,2.4911
2230,2023/10/24,46.7,-0.099672,5.682371
2230,2023/10/25,47.65,0.020343,4.47133
2230,2023/10/26,45.72,-0.040504,4.294327
2230,2023/10/27,45.56,-0.0035,2.816542
2230,2023/10/30,45.66,0.002195,2.564129
2230,2023/10/31,45.56,-0.00219,2.791404
2230,2023/11/1,44.96,-0.013169,2.024904
2230,2023/11/2,44.39,-0.012678,1.841511
2230,2023/11/3,46.05,0.037396,3.222212
2230,2023/11/6,47.44,0.030185,3.084855
2230,2023/11/7,48.11,0.014123,3.088617
2230,2023/11/8,48.6,0.010185,2.736771
2230,2023/11/9,48.51,-0.001852,2.113692
2230,2023/11/10,47.4,-0.022882,1.723038
2230,2023/11/13,49.64,0.047257,3.866003
2230,2023/11/14,49.91,0.005439,2.394194
2230,2023/11/15,50.4,0.009818,2.774219
2230,2023/11/16,49.26,-0.022619,1.714476
2230,2023/11/17,49.2,-0.001218,1.576477
2230,2023/11/20,49.67,0.009553,1.967802
2230,2023/11/21,48.99,-0.01369,1.602099
2230,2023/11/22,47.8,-0.024291,1.433598
2230,2023/11/23,47.89,0.001883,1.352691
2230,2023/11/24,46.38,-0.031531,2.141098
2230,2023/11/27,45.71,-0.014446,1.386682
2230,2023/11/28,45.68,-0.000656,1.10182
2230,2023/11/29,45.06,-0.013573,1.210752
2230,2023/11/30,44.75,-0.00688,1.189211
2230,2023/12/1,47.18,0.054302,3.074101
2230,2023/12/4,47.27,0.001908,2.069808
2230,2023/12/5,45.45,-0.038502,1.62774
2230,2023/12/6,45.38,-0.00154,1.328155
2230,2023/12/7,47.08,0.037461,2.969687
2230,2023/12/8,48.45,0.029099,3.586543
2230,2023/12/11,49.66,0.024974,2.969215
2230,2023/12/12,49.49,-0.003423,2.014951
2230,2023/12/13,48.9,-0.011922,2.00389
2230,2023/12/14,48.9,0,1.898276
2230,2023/12/15,48.34,-0.011452,1.533568
2230,2023/12/18,47.33,-0.020894,1.390693
2230,2023/12/19,48.18,0.017959,1.448471
2230,2023/12/20,46.33,-0.038398,1.530155
2230,2023/12/21,47.13,0.017267,1.378081
2230,2023/12/22,45.96,-0.024825,1.492692
2230,2023/12/25,46.64,0.014795,1.291357
2230,2023/12/26,45.17,-0.031518,1.415835
2230,2023/12/27,45.05,-0.002657,1.200368
2230,2023/12/28,46.05,0.022198,1.897977
2230,2023/12/29,46.38,0.007166,1.548301
2230,2024/1/2,45.1,-0.027598,1.430571
2230,2024/1/3,43.28,-0.040355,2.673005
2230,2024/1/4,41.7,-0.036506,2.201299
2230,2024/1/5,40.94,-0.018225,1.703392
2230,2024/1/8,40.01,-0.022716,1.426692
2230,2024/1/9,40.16,0.003749,1.395319
2230,2024/1/10,39.4,-0.018924,1.601755
2230,2024/1/11,40.82,0.036041,2.03401
2230,2024/1/12,40.19,-0.015434,1.159365
2230,2024/1/15,39.88,-0.007713,1.242489
2230,2024/1/16,39.95,0.001755,1.404308
2230,2024/1/17,39.18,-0.019274,1.171898
2230,2024/1/18,40.02,0.02144,2.002106
2230,2024/1/19,39.35,-0.016742,1.20833
2230,2024/1/22,38.28,-0.027192,1.750908
2230,2024/1/23,42.11,0.100052,4.879805
2230,2024/1/24,42.4,0.006887,3.622667
2230,2024/1/25,42.6,0.004717,3.115479
2230,2024/1/26,41.84,-0.01784,2.09968
2230,2024/1/29,40.41,-0.034178,2.056957
2230,2024/1/30,41.14,0.018065,3.452958
2230,2024/1/31,38.4,-0.066602,3.252535
2230,2024/2/1,40.99,0.067448,4.520827
2230,2024/2/2,39.9,-0.026592,3.306836
2230,2024/2/5,39.49,-0.010276,3.514975
2230,2024/2/6,41.2,0.043302,3.571415
2230,2024/2/7,42,0.019417,3.286587
2230,2024/2/8,43.55,0.036905,3.241044
2230,2024/2/19,46.54,0.068657,4.782934
2230,2024/2/20,45.46,-0.023206,2.873588
2230,2024/2/21,45.02,-0.009679,2.624783
2230,2024/2/22,46.35,0.029542,3.898811
2230,2024/2/23,46.33,-0.000431,2.446984
2230,2024/2/26,46.99,0.014246,3.437479
2230,2024/2/27,49.82,0.060226,4.93421
2230,2024/2/28,47.6,-0.04456,4.474486
2230,2024/2/29,49.39,0.037605,3.511449
2230,2024/3/1,52.57,0.064386,5.757649
2230,2024/3/4,52.33,-0.004565,3.809186
2230,2024/3/5,52.51,0.00344,4.963089
2230,2024/3/6,52.06,-0.00857,3.137927
2230,2024/3/7,50.27,-0.034383,3.270781
2230,2024/3/8,50.81,0.010742,2.491095
2230,2024/3/11,51.49,0.013383,2.518485
