ticker,market,industry,event,planned_event_date,actual_event_date,alpha,beta_estimated,marketcap,CAR_m5_p10,PostCAR_p11_p30,Turnover_Estimation_Avg,Turnover_Event_Avg,TurnoverChange,TurnoverChangeRatio,event_window_obs,post_window_obs,estimation_obs,China,Software
NXPI,US,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0024807938880520015,1.5896605652391653,,0.00212352917881925,0.16430472650557598,,,,,16,20,110,0,0
ON,US,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0033470362269901765,1.9109080814789168,,-0.11642265964887263,0.13631880710354383,,,,,16,20,110,0,0
QCOM,US,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0014134907167222158,1.6306077394649536,,0.04723543775568203,0.05958242456226535,,,,,16,20,110,0,0
STM,US,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0030029890867963012,1.4483823533311364,,-0.0746584886582251,0.2840028671446543,,,,,16,20,110,0,0
SWKS,US,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.002402906221970517,1.5072079272426029,,-0.34082423334826306,0.24069963840352715,,,,,16,20,110,0,0
TSM,US,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.001355734179450899,1.5329596864796604,,-0.08703000472092173,-0.09261438805550623,,,,,16,20,110,0,0
TXN,US,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0010791724959681114,1.4041811828108222,,-0.04397818246065941,0.12433744592565592,,,,,16,20,110,0,0
ADBE,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,-0.003305648859263318,1.1983690351369223,,0.08218159021170768,0.12855251826765018,,,,,16,20,110,0,1
APP,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.011364578434641184,2.74433504894719,,-0.09434738186837242,-0.39366312410067383,,,,,16,20,110,0,1
CFLT,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0017330775173817717,1.663375789892789,,0.0990466258084919,-0.10330413330406447,,,,,16,20,110,0,1
CRM,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0013963542130566015,1.266193043317987,,-0.02732767028157369,-0.08666766141924304,,,,,16,20,110,0,1
CRWD,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0029601442198129075,1.7378141977855306,,0.08107734867849609,-0.17441504948108688,,,,,16,20,110,0,1
DDOG,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0010005027579968074,1.4048855443181265,,0.02643764734149347,-0.26711937290853704,,,,,16,20,110,0,1
ESTC,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,-0.0017619632201079632,1.2607029009987374,,0.15314922536731734,-0.03890252020567331,,,,,16,20,110,0,1
GOOGL,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.00031821168664735594,1.1418087639396777,,-0.06360587653183539,-0.036313557603878575,,,,,16,20,110,0,1
INTU,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,-0.0010033595200204914,1.125051978353407,,-0.04236806624826931,0.11548097208955294,,,,,16,20,110,0,1
MDB,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,-0.0011548669863310102,1.9914478449276667,,0.11962260018898654,-0.18828579910510718,,,,,16,20,110,0,1
META,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0009441087938784257,1.2340482899479233,,0.11839453112713252,-0.08321369213781388,,,,,16,20,110,0,1
