ticker,date,close,ret,turnover,market,industry
688579,2023-04-19,17.33,-0.009714,5.279277,China,Software
688579,2023-04-20,18.29,0.055395,5.07054,China,Software
688579,2023-04-21,16.49,-0.098414,5.593878,China,Software
688579,2023-04-24,16.28,-0.012735,4.255897,China,Software
688579,2023-04-25,15.46,-0.050369,5.802217,China,Software
688579,2023-04-26,14.81,-0.042044,3.702942,China,Software
688579,2023-04-27,15.45,0.043214,5.632536,China,Software
688579,2023-04-28,15.98,0.034304,5.262414,China,Software
688579,2023-05-04,15.66,-0.020025,3.337573,China,Software
688579,2023-05-05,17.53,0.119413,7.088374,China,Software
688579,2023-05-08,18.05,0.029663,11.128673,China,Software
688579,2023-05-09,17.49,-0.031025,6.678892,China,Software
688579,2023-05-10,16.24,-0.071469,5.849576,China,Software
688579,2023-05-11,15.8,-0.027094,3.734836,China,Software
688579,2023-05-12,15.78,-0.001266,2.985303,China,Software
688579,2023-05-15,14.84,-0.059569,5.574902,China,Software
688579,2023-05-16,14.17,-0.045148,3.18289,China,Software
688579,2023-05-17,14.22,0.003529,2.272124,China,Software
688579,2023-05-18,14.83,0.042897,3.058926,China,Software
688579,2023-05-19,14.66,-0.011463,1.733268,China,Software
688579,2023-05-22,14.46,-0.013643,1.679166,China,Software
688579,2023-05-23,14.06,-0.027663,1.384937,China,Software
688579,2023-05-24,14.01,-0.003556,1.274681,China,Software
688579,2023-05-25,13.92,-0.006424,1.460878,China,Software
688579,2023-05-26,14.64,0.051724,2.668781,China,Software
688579,2023-05-29,15.71,0.073087,6.449308,China,Software
688579,2023-05-30,15.79,0.005092,3.978941,China,Software
688579,2023-05-31,16.4,0.038632,4.196843,China,Software
688579,2023-06-01,16.44,0.002439,3.788698,China,Software
688579,2023-06-02,16.36,-0.004866,2.425369,China,Software
688579,2023-06-05,16.19,-0.007335,2.369553,China,Software
688579,2023-06-06,15.7,-0.030266,1.851247,China,Software
688579,2023-06-07,16.94,0.078981,5.3584,China,Software
688579,2023-06-08,16.75,-0.011216,3.335608,China,Software
688579,2023-06-09,16.54,-0.012537,3.326615,China,Software
688579,2023-06-12,16.04,-0.03023,3.724581,China,Software
688579,2023-06-13,16.56,0.032419,3.996541,China,Software
688579,2023-06-14,17.12,0.033816,5.20111,China,Software
688579,2023-06-15,16.66,-0.026869,3.631091,China,Software
688579,2023-06-16,17.7,0.062425,5.858729,China,Software
688579,2023-06-19,18.8,0.062147,7.745712,China,Software
688579,2023-06-20,18.21,-0.031383,5.800458,China,Software
688579,2023-06-21,17.63,-0.031851,4.842723,China,Software
688579,2023-06-26,16.26,-0.077708,4.316739,China,Software
688579,2023-06-27,17.13,0.053506,4.384669,China,Software
688579,2023-06-28,16.56,-0.033275,4.57852,China,Software
688579,2023-06-29,17.36,0.048309,5.311936,China,Software
688579,2023-06-30,16.48,-0.050691,4.257758,China,Software
688579,2023-07-03,14.28,-0.133495,10.457959,China,Software
