date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret,ret_market,stock_ret,China,Software,event_day,actual_event_date,expected_ret,abnormal_ret,event
2022-12-05,2230,China,Software,33.43,,,0.741092,,,0.013952,0.0194249416377961,0.013952,1,1,-66,2023-03-15,0.02062748246429727,-0.006675482464297269,GPT4
2022-12-06,2230,China,Software,33.43,,,0.74024,,,0.0,0.0053877074495605,0.0,1,1,-65,2023-03-15,0.007764860661334758,-0.007764860661334758,GPT4
2022-12-07,2230,China,Software,33.9,,,1.04761,,,0.014059,-0.0024618264885694,0.014059,1,1,-64,2023-03-15,0.0005721626538952567,0.013486837346104744,GPT4
2022-12-08,2230,China,Software,33.72,,,0.717617,,,-0.00531,0.0001866722345375,-0.00531,1,1,-63,2023-03-15,0.0029990394135281434,-0.008309039413528143,GPT4
2022-12-09,2230,China,Software,34.0,,,0.788804,,,0.008304,0.0098183316139603,0.008304,1,1,-62,2023-03-15,0.011824737572521681,-0.0035207375725216806,GPT4
2022-12-12,2230,China,Software,34.4,,,0.824318,,,0.011765,-0.0112684199109239,0.011765,1,1,-61,2023-03-15,-0.007497509693605941,0.01926250969360594,GPT4
2022-12-13,2230,China,Software,33.16,,,0.796717,,,-0.036047,-0.0019652818460086,-0.036047,1,1,-60,2023-03-15,0.0010271572674993745,-0.03707415726749938,GPT4
2022-12-14,2230,China,Software,33.83,,,0.693319,,,0.020205,0.0023302135568703,0.020205,1,1,-59,2023-03-15,0.004963212766943895,0.015241787233056105,GPT4
2022-12-15,2230,China,Software,34.04,,,0.569663,,,0.006208,-0.0007327800501798,0.006208,1,1,-58,2023-03-15,0.002156525365133901,0.004051474634866099,GPT4
2022-12-16,2230,China,Software,33.9,,,0.428293,,,-0.004113,0.0005661368370848,-0.004113,1,1,-57,2023-03-15,0.003346751049932131,-0.007459751049932132,GPT4
2022-12-19,2230,China,Software,33.28,,,0.437174,,,-0.018289,-0.0155482977420259,-0.018289,1,1,-56,2023-03-15,-0.011419254473677037,-0.006869745526322963,GPT4
2022-12-20,2230,China,Software,32.13,,,0.658279,,,-0.034555,-0.0166287232891807,-0.034555,1,1,-55,2023-03-15,-0.012409271809923947,-0.022145728190076056,GPT4
2022-12-21,2230,China,Software,31.88,,,0.368197,,,-0.007781,0.0003971510146457,-0.007781,1,1,-54,2023-03-15,0.003191905679758113,-0.010972905679758112,GPT4
2022-12-22,2230,China,Software,32.96,,,1.098638,,,0.033877,0.001432192963163,0.033877,1,1,-53,2023-03-15,0.004140337041339097,0.0297366629586609,GPT4
2022-12-23,2230,China,Software,33.36,,,0.874935,,,0.012136,-0.0020377742790008,0.012136,1,1,-52,2023-03-15,0.0009607308806021085,0.01117526911939789,GPT4
2022-12-26,2230,China,Software,32.8,,,0.684247,,,-0.016787,0.0039808658425671,-0.016787,1,1,-51,2023-03-15,0.006475741217663024,-0.023262741217663023,GPT4
2022-12-27,2230,China,Software,33.13,,,0.429976,,,0.010061,0.0114767866245989,0.010061,1,1,-50,2023-03-15,0.013344415829150795,-0.0032834158291507945,GPT4
2022-12-28,2230,China,Software,32.63,,,0.450827,,,-0.015092,-0.0042762657510833,-0.015092,1,1,-49,2023-03-15,-0.0010904473521216066,-0.014001552647878394,GPT4
2022-12-29,2230,China,Software,33.1,,,0.5885,,,0.014404,-0.0037689138702355,0.014404,1,1,-48,2023-03-15,-0.0006255498319365982,0.0150295498319366,GPT4
2022-12-30,2230,China,Software,32.83,,,0.39159,,,-0.008157,0.0038644853217209,-0.008157,1,1,-47,2023-03-15,0.0063690992250309535,-0.014526099225030953,GPT4
2023-01-03,2230,China,Software,34.37,,,1.344895,,,0.046908,0.0041922687413275,0.046908,1,1,-46,2023-03-15,0.0066694542738350085,0.04023854572616499,GPT4
2023-01-04,2230,China,Software,34.15,,,0.692552,,,-0.006401,0.0012978023366005,-0.006401,1,1,-45,2023-03-15,0.00401719199865075,-0.01041819199865075,GPT4
2023-01-05,2230,China,Software,34.42,,,0.743831,,,0.007906,0.0192411329059238,0.007906,1,1,-44,2023-03-15,0.0204590545410717,-0.012553054541071699,GPT4
2023-01-06,2230,China,Software,33.94,,,0.734994,,,-0.013945,0.0030973170508159,-0.013945,1,1,-43,2023-03-15,0.00566612631772178,-0.01961112631772178,GPT4
2023-01-09,2230,China,Software,34.04,,,0.578465,,,0.002946,0.0080638324656877,0.002946,1,1,-42,2023-03-15,0.010217051991785003,-0.007271051991785003,GPT4
2023-01-10,2230,China,Software,34.12,,,0.609496,,,0.00235,0.0010843532686692,0.00235,1,1,-41,2023-03-15,0.0038216039933372708,-0.0014716039933372707,GPT4
2023-01-11,2230,China,Software,33.2,,,1.010753,,,-0.026964,-0.0018543749603041,-0.026964,1,1,-40,2023-03-15,0.0011287836496649546,-0.028092783649664953,GPT4
2023-01-12,2230,China,Software,33.31,,,0.560688,,,0.003313,0.0019526906141144,0.003313,1,1,-39,2023-03-15,0.0046172803154727726,-0.0013042803154727726,GPT4
2023-01-13,2230,China,Software,33.26,,,0.425128,,,-0.001501,0.013966188993352,-0.001501,1,1,-38,2023-03-15,0.015625509152471274,-0.017126509152471273,GPT4
2023-01-16,2230,China,Software,35.18,,,2.264525,,,0.057727,0.0154860278611253,0.057727,1,1,-37,2023-03-15,0.017018170434278092,0.04070882956572191,GPT4
2023-01-17,2230,China,Software,35.5,,,1.047058,,,0.009096,-0.0001744971670389,0.009096,1,1,-36,2023-03-15,0.002668092066138803,0.006427907933861197,GPT4
2023-01-18,2230,China,Software,35.38,,,0.713363,,,-0.00338,-0.0016759491248966,-0.00338,1,1,-35,2023-03-15,0.0012922791082395316,-0.004672279108239532,GPT4
2023-01-19,2230,China,Software,38.61,,,3.010902,,,0.091295,0.006201565024374,0.091295,1,1,-34,2023-03-15,0.00851061598933774,0.08278438401066227,GPT4
2023-01-20,2230,China,Software,37.88,,,1.457116,,,-0.018907,0.0061214926686871,-0.018907,1,1,-33,2023-03-15,0.00843724395505651,-0.02734424395505651,GPT4
2023-01-30,2230,China,Software,41.67,,,4.33823,,,0.100053,0.0047282212876558,0.100053,1,1,-32,2023-03-15,0.007160559203432409,0.0928924407965676,GPT4
2023-01-31,2230,China,Software,40.58,,,4.024196,,,-0.026158,-0.0106452116816851,-0.026158,1,1,-31,2023-03-15,-0.006926450491365744,-0.019231549508634257,GPT4
2023-02-01,2230,China,Software,42.99,,,4.224067,,,0.059389,0.0093562223807869,0.059389,1,1,-30,2023-03-15,0.011401296870581409,0.04798770312941859,GPT4
2023-02-02,2230,China,Software,42.88,,,5.897851,,,-0.002559,-0.0035296336716387,-0.002559,1,1,-29,2023-03-15,-0.00040629220196360593,-0.002152707798036394,GPT4
2023-02-03,2230,China,Software,43.86,,,3.586276,,,0.022854,-0.0094961760885253,0.022854,1,1,-28,2023-03-15,-0.005873564283529746,0.028727564283529745,GPT4
2023-02-06,2230,China,Software,47.9,,,5.582789,,,0.092111,-0.0133085596678949,0.092111,1,1,-27,2023-03-15,-0.009366933952488683,0.10147793395248868,GPT4
2023-02-07,2230,China,Software,46.69,,,4.809431,,,-0.025261,0.001798289030231,-0.025261,1,1,-26,2023-03-15,0.0044757987990544585,-0.029736798799054456,GPT4
2023-02-08,2230,China,Software,46.33,,,4.069704,,,-0.00771,-0.0044289349204184,-0.00771,1,1,-25,2023-03-15,-0.0012303414195566006,-0.006479658580443399,GPT4
2023-02-09,2230,China,Software,46.4,,,4.110638,,,0.001511,0.013334183999665,0.001511,1,1,-24,2023-03-15,0.015046389284385535,-0.013535389284385534,GPT4
2023-02-10,2230,China,Software,47.91,,,6.264776,,,0.032543,-0.0059600764836294,0.032543,1,1,-23,2023-03-15,-0.0026333596060655632,0.03517635960606556,GPT4
2023-02-13,2230,China,Software,48.5,,,4.43215,,,0.012315,0.0090338854290023,0.012315,1,1,-22,2023-03-15,0.011105932538240224,0.0012090674617597757,GPT4
2023-02-14,2230,China,Software,47.38,,,3.393058,,,-0.023093,0.0004140495065466,-0.023093,1,1,-21,2023-03-15,0.003207390133992258,-0.026300390133992258,GPT4
2023-02-15,2230,China,Software,50.79,,,6.379737,,,0.071971,-0.0052245988618019,0.071971,1,1,-20,2023-03-15,-0.00195942552708312,0.07393042552708311,GPT4
2023-02-16,2230,China,Software,48.5,,,4.79697,,,-0.045088,-0.0073507327365869,-0.045088,1,1,-19,2023-03-15,-0.003907648059178964,-0.041180351940821036,GPT4
2023-02-17,2230,China,Software,46.7,,,3.778514,,,-0.037113,-0.0145133050130981,-0.037113,1,1,-18,2023-03-15,-0.010470868213072252,-0.026642131786927748,GPT4
